text,iso_code,language_name,source,usage
除了抵制英國產品外，甘地還極力鼓勵人們抵制英國學校，法律機構，辭退政府工作，拒絕繳稅，拋棄英國給的稱號和榮譽。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
1941年，一些反法西斯的社會黨和民主黨成員再度進入聖馬利諾大議會，他們秘密組建了一個反法西斯的政治運動，這個運動越來越嚴密、壯大，到1943年時已經成為一支可觀的政治力量。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
國家博物館和圖書館收藏的文物和書籍轉移到山洞裡，以為難民騰出住宿空間。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
面對南下的德國大軍，聖馬利諾共和國再度陷入驚慌之中。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
聖馬洛區轄有9個縣，共有63個市鎮。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
20世紀後，飛機被發明，航空測繪地圖興起。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
但在2006年由於公眾反對，這一計劃受到擱淺。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
在此之後，地形圖集也成為了現代化國家在規劃基礎設施和礦產探測中的基礎國家資源。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
換句話說，如果每個標註的點都在100米的高度，這條線代表的就是100米海拔。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
滾球的球主要分為兩類，一種由金屬制，另一種則塑質所造，前者稱金屬滾球，後者名為塑質滾球，在這兩大類中，再有小金屬滾球、草滾球、桌擲球（又稱沙狐球）。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
地灣城遺址，位於中國甘肅省金塔縣，為一個省級文物保護單位，類型為古遺址。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
與其他胰島素相比較，本品引起夜間低血糖的風險較低，因而可以進行更為積極的劑量調整以實現血糖達標。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
長期血糖水平控制良好可以降低糖尿病視網膜病變的風險。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
《進化特區》（英文：Evolution）是2001年首映的一部美國科幻喜劇電影。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
遊戲的任務重心就是「自由」。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
NX-01最初的武器裝備只有等離子炮與氚核魚雷，並由電磁極化船甲保護。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
但在另一方面，少數變化使得分子的複製變得更快或更佳；這些「品系」的數量較多也較「成功」。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
1788年，他來到了所羅門聖克魯斯群島的，之後便杳無蹤跡。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
18世紀到19世紀是現代地質學和地理學的創立時期，兩者的交叉領域則為地貌學提供了空間。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
20世紀50年代也是地貌學出現分支學科的時期，形成了河流地貌學、冰川地貌學、海岸地貌學和構造地貌學。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
化學中的場效應（Field effect，記作F）是指通過空間的分子內靜電作用，即某取代基在空間產生一個電場，它對另一處的反應中心發生影響。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
她並不十分擅長為唱片封面拍攝，每當攝影師把鏡頭對準她，說道：「好，開始拍」時，或者是在確定拍攝場景後，需要根據攝影師的想法去調整姿勢時，她總是顯得不自在。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
總之她對顏色的要求非常嚴格。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
此法既能解決運費高昂的問題，又可調節物價。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
波利比奧斯記述道：「當其被不斷切割，生還者被逼站在原地引頸就戮。」,zh,Chinese,Universal Dependencies Treebanks,preprocessing
總括而言，整場戰役的總傷亡人數大約為八萬人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
總面積11.37平方公里，總人口1579人，其中男性741人，女性838人（2011年12月31日），人口密度139人/平方公里。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
有些現代神話學家認為，坎珀實際是厄客德娜的一個別名，兩者之間有很多相似之處。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
他是一個典型的戰士：高大，結實，強壯有力。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
統治期內，梅葛處死了三位大學士；他還擁有為數眾多的妻子，每個時期通常都不止一個，因此臭名遠揚。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
雷妮拉的母親沒有生下男性繼承人就死了，所以韋賽里斯一世準備讓雷妮拉繼承王位，成為坦格利安家系中的第一位女王。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
由節目來賓各自抽籤選定主持人當助手後分成兩隊比賽,zh,Chinese,Universal Dependencies Treebanks,preprocessing
他亦曾代表過阿根廷國家隊出賽，但並未參與任何世界盃賽事。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
而埃姆登號的殘骸在1950年被一家日本公司打撈上來作廢鐵處理，但仍有部分殘骸未被打撈上來。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
根據美國輿論調查指出，當時隆美爾是美國僅次於希特勒的知名度最高的德國人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
此處不需要保護補給線的安全而持續控制。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
由於認為德義軍隊戰力已就緒，隆美爾決定再發動攻勢。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
起初隆美爾對此決定甚為惱怒，但回到司令部後重新考慮過後，隆美爾認為魏斯法爾的判斷是正確的，中止了攻勢。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
該市鎮總面積10.94平方公里，2009年時的人口為600人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
幾個月後的一次採訪，艾米說到：「如果我們沒有變化的話，是沒法做出第二張專輯的。」,zh,Chinese,Universal Dependencies Treebanks,preprocessing
"埃薩河是白俄羅斯的河流，由明斯克州和維捷布斯克州負責管轄，屬於道加瓦河的一部分，該湖長84公里，面積1,040平方公里，最終注入列佩利湖。",zh,Chinese,Universal Dependencies Treebanks,preprocessing
警方前往工作坊逮捕席勒的同時，也扣押了一百多張被認為是色情物品的畫作。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
卡斯特羅出現在了埃連與同學在一起的生日派對視頻中。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
1916年至1917年，他在美國巡迴演講，之後的1920年，他被派任蘇門答臘瑞典領事，1921年至1925年，他又來到美國學習。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
曼施坦因戰後繼續留在軍隊，在1920年代，他參與了創建德國國防軍的進程，1919年5月的《凡爾賽條約》限定魏瑪共和國只能擁有最多10萬人的軍隊。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
1918年，他被派去指揮佔領白俄羅斯的第十軍，在那裡他一直待到戰爭結束。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
雖然她從來沒有再婚，她又找了幾任情人，並於1882年去世。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
這個長廊頂部覆蓋著拱形的玻璃和鑄鐵屋頂，這是19世紀流行的商場設計。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
城東湖是一個位於中國安徽省霍丘縣的湖泊，面積約為115平方千米。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
評論家們特別讚賞了阿弗萊克對於搶劫場景的導演手法。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
隨著年代的變遷，城堡設計的美學因素越來越重要，城堡的外觀和規模開始體現它的居住者的威望和權力。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
以下資料以2008年清明節為準。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
每日0515-0545班次到達石排灣道後，繞經華富道及華富（南）巴士總站，再返回石排灣道原有路線。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
教會每週有許多不同的聚會，分別有英文、中文、福建話、廣東話、與印尼文聚會。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
河姆渡遺址和仰韶遺址出土被認為最原始的陶塤均只有吹孔，而無音孔。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
我們已經提及了連續偏序集合和代數偏序集合。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
另一種觀點認為，兩種複製的基因同樣都會累積退化的突變，基因重複的缺陷也能相輔相成。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
他感到自責，認為這樣的復仇超過了應有的界限。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
"在格連推動之下，大陸軍在12日決議即時撤出紐約，優先把傷兵及補給送到哈林高地，並由以色列·普特南的4,000人殿後。",zh,Chinese,Universal Dependencies Treebanks,preprocessing
翌日（9月16日）一支英軍向北偵察時與美軍交火，引發哈林高地戰役。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
英軍軍艦向基普灣狂轟濫炸近一小時，使灘頭濃煙密佈。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
華盛頓希望先獲得大陸議會准許撤退，然後把紐約市徹底焚毀；部分將軍則主張死守紐約，等待英軍正面進攻，以重演邦克山戰役的戰果。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
長島會戰後，大陸軍撤回曼哈頓島，但在撤離紐約市一事上仍然猶豫不決。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
程序性給付是在要求國家必須提供一套制度，例如考試制度和選舉制度等，其也與正當法律程序條款的要求有關。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
主武器是20枚P-700花崗岩（廠號3M45）反艦飛彈（分裝在20座垂直發射器裡），可以擊沉大型水面艦。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
根據分析它和德國209型艇的靜音性能在伯仲之間。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
基督堂草坪（Christ Church Meadow）是英國牛津一個著名的洪水草甸，和著名的步行和野餐地點。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
在報復的過程中，報復者會產生一種罪惡的快感。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
該事件被稱為睿問魔謀殺案。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
塔爾卡受地中海氣候影響，有乾燥的夏天和潮濕的冬天，每年平均降雨量749毫米，平均溫度攝氏13度。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
她出生的日期已無法確定，因為她的出生記錄已在處決時被銷毀。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
她是伊朗的巴比教有影響力的詩人和神學家。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
很快，她就因為熱情地傳播信仰和「無畏的忠信」同時贏得了聲望和惡名。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
查爾斯·克拉克在其同年出版的專著《蘇門答臘島與西馬來西亞的豬籠草》中拒絕這一觀點。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
他先在印度西姆拉上學，後來畢業於加州帕薩迪納的藝術設計中心學院。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
1553年，太美斯普一世抵禦了奧斯曼帝國蘇丹蘇里曼一世的進攻。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
2003年，阿齊茲向美軍投降。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
這是阿齊茲的第一項死刑，他因1992年處死42名商人而被判15年有期徒刑。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
塔里木盆地的塔克拉瑪干沙漠流沙嚴重，從谷歌衛星圖片可以清晰看到，沙漠腹地有些已建成的公路由於固沙措施不力，導致公路抵禦流沙的力度不夠，許多連接油田基地的瀝青路面被強大的流動沙丘所淹沒，阻斷交通。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
其中一處甚至塗有「小心惡犬」的標語。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
任何人類的法則倘若與此法則相矛盾，便喪失其效力；而具有效力的法律，其全部法力、效力和權威則都是間接地或直接地從這一根源産生的。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
男人宣稱，根據使徒教義，婦女不得任牧師，除了個別例外的，婦女還不得在公共場合參與宗教事務。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
男人強迫婦女服從那些她無權參與制定的法律。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
詹姆斯和莫特對這項權益持相反的態度。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
1896年至1973年間，該站為地上車站。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
人們建造了一個紀念公園，並且為受害者放置了紀念石凳。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
古羅馬人利用拱結構來支撐橋身石材與水流的重量。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
不過有些會影響到玩家的遊戲體驗的老版程序錯誤，我們不得不修復了它們，所以有些原版《時之笛》存在的bug將不復存在。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
該市鎮總面積9.58平方公里，2009年時的人口為81人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
塞普勒斯眾議院共有59個議席，每5年改選一屆。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
自1960年代以後塞維亞實力每況愈下，只能在低組別聯賽打滾，至1990年代末才升上甲組。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
2000年代九廣鐵路計劃興建落馬洲支線經過該地，引起了對該處生態影響的關注。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
墨爾本在服飾、藝術、音樂、電視製作、電影及舞蹈等潮流文化領域引領澳洲，甚至於全球該領域範圍都具備一定的影響力。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
2013年，歷史悠久的墨爾本大學即將迎來自己的160週年校慶。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
1932年（昭和7年）北部成立向島區。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
雖然這些小吃一般不被視作正餐，但即使作為前菜，有時它的豐膩也令人吃得很飽肚。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
國際壁球聯盟（IRF）於1979年由十三個國家共同成立，在努力推廣發展下，80年代早期在五大洲就超過80個國家參與壁球的活動。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
潤滑劑中加入其它物質可以控制乳液粘度以及熱學性能。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
然後推桿就會推出所有的鑄件，由於一個模具內可能會有多個模腔，所以每次鑄造過程中可能會產生多個鑄件。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
熔融金屬可以從這裡進入模具，這個部位的形狀同熱室壓鑄中的注射嘴或是冷室壓鑄中的注射室相匹配。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
因為這裡是兩條河川（士別川、劍淵川）匯合至天鹽川的地方。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
在僱用一位法語嚮導後，旅行者及其隨從就前往巴黎。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
歐洲旅行是一件微不足道的事，景色乏味、清一色、缺少變化」。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
此理論既避免了濁送氣音的不對稱，也可以在一定程度上解釋同源詞在各派生語中的詞形差異。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
這個原理有時叫做弗雷格原理，因為普遍認為弗雷格首先公式化了它。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
1915年，時任校長李登輝改革課程體系，課程分成八大部類，其中哲學部為首，並親自講授哲學類課程；復旦大學逐漸建立起由邏輯、倫理、性理（包括心理學與形而上學）組成的哲學教學體系。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
2000年，成立復旦大學科學技術與社會發展研究中心。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
2009年，貝拉克·奧巴馬正式地邀請同性配偶及其子女出席復活節滾彩蛋活動。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
後來，夏志明被伯明翰邀請接受測試，他參與了一場預備組賽事後，得知不會獲得合約後決定於英國停學，於同年12月返回香港跟隨傑志參與操練。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
影片也從田納西·威廉斯的《熱鐵皮屋頂上的貓》中汲取了靈感。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
太康只顧遊玩，不理政事，在位期間，夏部族權威削弱，東夷族太昊與少昊部落趁機西進。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
夏綠蒂從1839年開始在約克郡擔任許多家庭的女教師，直到1841年為止。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
1965年12月14日，夏繼泉在北京病逝。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
日本人提出請夏繼泉出任山東省省長，後來又提出請他任教育督辦等職務，均被夏繼泉拒絕。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
夏道鎮是中國福建省南平市延平區下轄的一個鎮。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
夏須草屬（學名：Theropogon）是百合科下的一個屬，為多年生草本植物。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
一般來說，制定外交政策是由政府首腦及外長負責。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
這項設計主要是當人體或是金屬物體碰觸到觸控式外出開關面板時，觸控式外出開關會啟動內部設計的NC接點切換到NC接點，門就會自動開啟。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
科學家認為生命可能曾經存在過或者依然存在的地方包括金星、火星、木星的衛星（如木衛二、木衛六）、土星的衛星（如土衛六和土衛二）。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
你可以應用這種邏輯系統作為模糊集合論的理論基礎。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
"多利納是烏克蘭的城市，位於該國西南部，距離伊萬諾-弗蘭科夫斯克州58公里，由伊萬諾-弗蘭科夫斯克州負責管轄，始建於979年，面積27平方公里，2011年人口20,453。",zh,Chinese,Universal Dependencies Treebanks,preprocessing
MS也常見於歐洲北部族群分佈區域，但是在這些MS常見的區域，某些種族群體發病風險較低。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
神經元傳遞信息，形成思維和感覺，以使大腦控制身體。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
杜篤瑪屬半乾旱氣候，全年氣候相對溫暖，全年平均降雨量約570毫米，降雨主要集中於12月至翌年3月的雨季，其他月份屬相對乾燥的旱季。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
次日，近衛首相宣言「不以蔣中正為談判對手」。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
結合起來的火箭稱為運載火箭。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
此套電影引起了一位名叫馬徐維邦的中國人興趣，他把此電影拍成華語版，不單引起更大的轟動，而且更為中國電影史上第一部恐怖片。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
達哉的表姊，由於親生父母夫妻不合且家庭亂七八糟的關係，於是在達哉父母的考量下被收養為養女。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
2008年10月起，本作改編的動畫開始在TBS系電視台放映。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
《夜行神龍》（Gargoyles）是美國迪士尼公司推出的動畫影集，從1994年到1997年播出，共78集，每集30分鐘（含廣告的時間）。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
他們也需保守有關他們關係的秘密，相較美朱在第一集跟鬼宿表白，這種關係顯得比較成熟。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
頭上髮飾的皇冠就是宮廷蛋糕師的印記。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
秦月香為保護女兒采青誤殺桑老三，被知縣蕭汝章利用，將月香的舊主子、采青生父青城富商沈淵捲入是非漩渦。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
大義（1360年五月-十二月）是元朝時期陳友諒的年號，共計8個月。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
中國的塔什庫爾干塔吉克自治縣有波斯人聚居，流行波斯文化。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
在前伊斯蘭時期，伊朗人將他們的土地劃分為兩個主要部分，分別是伊朗及安勒尼蘭（Aniran）。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
六年後的1956年3月8日，位於德國漢諾威新建成的福斯商用車工廠正式啟用，原狼堡工廠停止生產福斯廂型車。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
通過將原型的不斷完善，其具有了更低的風阻係數、更佳的操控性和耐用度。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
大佛口亦為灣仔區議會其中一個選區，現任議員為親建制的民建聯成員李勻頤。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
大興邨位於今天和平區桂林路與衡陽路之間的重慶道上，總建築面積為5900平方米，其中佔地面積為6100平方米。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
大同寶寶是台灣的大同公司於1969年推出的吉祥物。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
也就是說，該航程主要吸引美海軍戰鬥機向大和攻擊隊迎戰，緩和對日本特攻機的攻擊。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
"在3月30日，美軍軍機在呉軍港及廣島灣佈置了1,034個水雷，由於需要時間清除水雷，所以令返回呉軍港相當困難。",zh,Chinese,Universal Dependencies Treebanks,preprocessing
往返的航程中，第一砲塔因美軍的轟炸而中了4枚炸彈，但對後續戰鬥沒有影響。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
唯一出現的人類角色，也是養育大嘴鳥的人，角色原型是凡爾納的小說環遊世界八十天中名為「萬事通」的助手。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
龍頭由藤條屈曲為骨架；龍牙以鋸齒的鐵片造成；雙眼是手電筒；舌頭是漆紅的木片。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
在活動期間，該縣被廣東省文化廳授予廣東省「漢樂之鄉」稱號。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
此作也被改編成真人電影、小說、動畫等。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
大孔多孔菌，屬多孔菌科一種，是木棲腐生的中小型菇類。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
大安國際大樓是位於臺灣臺中市南區忠明南路上的一幢摩天大樓，樓高151.2米，共地上42層，地下4層。,zh,Chinese,Universal Dependencies Treebanks,preprocessing
