text,iso_code,language_name,source,usage,detected_script,cleaned_text
圖波列夫設計局在1960年代末期推出圖-154客機後，圖波列夫便成為社會主義國家民航飛機的主要供應商。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"圖 波 列 夫 設 計 局 在 年 代 末 期 推 出 圖 - 客 機 後 , 圖 波 列 夫 便 成 為 社 會 主 義 國 家 民 航 飛 機 的 主 要 供 應 商 。"
事實上，團購網站的產品原價和購買數量經常被「注水」，而產品和服務的品質則經常「縮水」。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"事 實 上 , 團 購 網 站 的 產 品 原 價 和 購 買 數 量 經 常 被 「 注 水 」 , 而 產 品 和 服 務 的 品 質 則 經 常 「 縮 水 」 。"
團購網站的主要產品分為家居類、日用品類、旅遊優惠、機票、酒店及郵輪等。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,團 購 網 站 的 主 要 產 品 分 為 家 居 類 、 日 用 品 類 、 旅 遊 優 惠 、 機 票 、 酒 店 及 郵 輪 等 。
可是，魔牛肝菌的菌肉在被切割或撞傷後會變成藍色的，而這種菌的菌肉無論如何都是白色的，因此透過切割菌肉便能分辨二者。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"可 是 , 魔 牛 肝 菌 的 菌 肉 在 被 切 割 或 撞 傷 後 會 變 成 藍 色 的 , 而 這 種 菌 的 菌 肉 無 論 如 何 都 是 白 色 的 , 因 此 透 過 切 割 菌 肉 便 能 分 辨 二 者 。"
站牌上標示著「浪漫和傳奇的入野松原」。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,站 牌 上 標 示 著 「 浪 漫 和 傳 奇 的 入 野 松 原 」 。
自然界的土是由岩石經風化、搬運、堆積而形成的。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,自 然 界 的 土 是 由 岩 石 經 風 化 、 搬 運 、 堆 積 而 形 成 的 。
毛澤東早在1949年3月中共七屆二中全會的報告中就明確地說：「占國民經濟總產值90%的分散的個體的農業經濟和手工業經濟，是可能和必須謹慎地、逐步地而又積極地引導它們向著現代化和集體化的方向發展的，任其自流的觀點是錯誤的。」,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"毛 澤 東 早 在 年 月 中 共 七 屆 二 中 全 會 的 報 告 中 就 明 確 地 說 : 「 占 國 民 經 濟 總 產 值 % 的 分 散 的 個 體 的 農 業 經 濟 和 手 工 業 經 濟 , 是 可 能 和 必 須 謹 慎 地 、 逐 步 地 而 又 積 極 地 引 導 它 們 向 著 現 代 化 和 集 體 化 的 方 向 發 展 的 , 任 其 自 流 的 觀 點 是 錯 誤 的 。 」"
它主要分布在表土層或耕層中，深受耕作施肥等人為因素的影響而極不穩定。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"它 主 要 分 布 在 表 土 層 或 耕 層 中 , 深 受 耕 作 施 肥 等 人 為 因 素 的 影 響 而 極 不 穩 定 。"
土壤是重要的自然資源和生產資料，土壤的植物生產能力是衡量土壤資源質量的標誌。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"土 壤 是 重 要 的 自 然 資 源 和 生 產 資 料 , 土 壤 的 植 物 生 產 能 力 是 衡 量 土 壤 資 源 質 量 的 標 誌 。"
一些土星1號儀錶組中的部分也被用在土星1B中了。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,一 些 土 星 號 儀 錶 組 中 的 部 分 也 被 用 在 土 星 B 中 了 。
它在位於亨茨維爾的空間系統中心建造。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,它 在 位 於 亨 茨 維 爾 的 空 間 系 統 中 心 建 造 。
這個計算機控制了火箭從起飛前一直到拋棄S-IVB推進器的操作過程。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,這 個 計 算 機 控 制 了 火 箭 從 起 飛 前 一 直 到 拋 棄 S - I V B 推 進 器 的 操 作 過 程 。
2007年7月6日，聖喬治教堂被馬來西亞政府列為50個馬來西亞國家寶藏之一。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"年 月 日 , 聖 喬 治 教 堂 被 馬 來 西 亞 政 府 列 為 個 馬 來 西 亞 國 家 寶 藏 之 一 。"
聖伯多祿堂（Iglesia de San Pedro）是西班牙南部城市科爾多瓦的一座羅馬天主教教堂，供奉聖伯多祿，位於同名的廣場上。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"聖 伯 多 祿 堂 ( I g l e s i a d e S a n P e d r o ) 是 西 班 牙 南 部 城 市 科 爾 多 瓦 的 一 座 羅 馬 天 主 教 教 堂 , 供 奉 聖 伯 多 祿 , 位 於 同 名 的 廣 場 上 。"
該市鎮總面積11.61平方公里，2009年時的人口為323人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"該 市 鎮 總 面 積 . 平 方 公 里 , 年 時 的 人 口 為 人 。"
該市鎮總面積38.28平方公里，2009年時的人口為696人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"該 市 鎮 總 面 積 . 平 方 公 里 , 年 時 的 人 口 為 人 。"
總面積14平方公里，人口268人，人口密度19.1人/平方公里（2009年）。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"總 面 積 平 方 公 里 , 人 口 人 , 人 口 密 度 . 人 / 平 方 公 里 ( 年 ) 。"
該市鎮總面積28.59平方公里，2009年時的人口為617人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"該 市 鎮 總 面 積 . 平 方 公 里 , 年 時 的 人 口 為 人 。"
除了在1900年到1950年間人口上升了大約25%，在此後人口一直下降，現在聖奧斯瓦爾德鄉的居民總數比2005年還要少大約35%。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"除 了 在 年 到 年 間 人 口 上 升 了 大 約 % , 在 此 後 人 口 一 直 下 降 , 現 在 聖 奧 斯 瓦 爾 德 鄉 的 居 民 總 數 比 年 還 要 少 大 約 % 。"
2007年，教堂完成了主體大修工程，工程包括內部結構的調整。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"年 , 教 堂 完 成 了 主 體 大 修 工 程 , 工 程 包 括 內 部 結 構 的 調 整 。"
1907年到1911年，教堂立面改建為目前的巴伐利亞巴洛克式。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"年 到 年 , 教 堂 立 面 改 建 為 目 前 的 巴 伐 利 亞 巴 洛 克 式 。"
該市鎮總面積16.71平方公里，2009年時的人口為2070人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"該 市 鎮 總 面 積 . 平 方 公 里 , 年 時 的 人 口 為 人 。"
島嶼長度約為11公里，寬度6公里。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"島 嶼 長 度 約 為 公 里 , 寬 度 公 里 。"
該島還設有8個網球場和1個環繞安娜費雷拉峰的馬術中心。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,該 島 還 設 有 個 網 球 場 和 個 環 繞 安 娜 費 雷 拉 峰 的 馬 術 中 心 。
翻譯時，除使用原文外，參考的考古文獻則多以法、德兩文記載和教會用的拉丁文。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"翻 譯 時 , 除 使 用 原 文 外 , 參 考 的 考 古 文 獻 則 多 以 法 、 德 兩 文 記 載 和 教 會 用 的 拉 丁 文 。"
後來他重回橋樑道路學院教學，並繼續他的研究工作。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"後 來 他 重 回 橋 樑 道 路 學 院 教 學 , 並 繼 續 他 的 研 究 工 作 。"
最古老的是安德里亞·皮薩諾的作品，作於1330年到1336年。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"最 古 老 的 是 安 德 里 亞 · 皮 薩 諾 的 作 品 , 作 於 年 到 年 。"
該市鎮總面積2.92平方公里，2009年時的人口為1097人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"該 市 鎮 總 面 積 . 平 方 公 里 , 年 時 的 人 口 為 人 。"
1914年，政府允諾減少在南非對印度人的歧視。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"年 , 政 府 允 諾 減 少 在 南 非 對 印 度 人 的 歧 視 。"
但是甘地更相信尼赫魯能建立保障印度人民自由的政府。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,但 是 甘 地 更 相 信 尼 赫 魯 能 建 立 保 障 印 度 人 民 自 由 的 政 府 。
在艾哈邁達巴德建立了Sabarmati Ashram（高僧修行所），還有報紙「年輕的印度」（Young India）。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"在 艾 哈 邁 達 巴 德 建 立 了 S a b a r m a t i A s h r a m ( 高 僧 修 行 所 ) , 還 有 報 紙 「 年 輕 的 印 度 」 ( Y o u n g I n d i a ) 。"
除了抵制英國產品外，甘地還極力鼓勵人們抵制英國學校，法律機構，辭退政府工作，拒絕繳稅，拋棄英國給的稱號和榮譽。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"除 了 抵 制 英 國 產 品 外 , 甘 地 還 極 力 鼓 勵 人 們 抵 制 英 國 學 校 , 法 律 機 構 , 辭 退 政 府 工 作 , 拒 絕 繳 稅 , 拋 棄 英 國 給 的 稱 號 和 榮 譽 。"
1941年，一些反法西斯的社會黨和民主黨成員再度進入聖馬利諾大議會，他們秘密組建了一個反法西斯的政治運動，這個運動越來越嚴密、壯大，到1943年時已經成為一支可觀的政治力量。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"年 , 一 些 反 法 西 斯 的 社 會 黨 和 民 主 黨 成 員 再 度 進 入 聖 馬 利 諾 大 議 會 , 他 們 秘 密 組 建 了 一 個 反 法 西 斯 的 政 治 運 動 , 這 個 運 動 越 來 越 嚴 密 、 壯 大 , 到 年 時 已 經 成 為 一 支 可 觀 的 政 治 力 量 。"
國家博物館和圖書館收藏的文物和書籍轉移到山洞裡，以為難民騰出住宿空間。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"國 家 博 物 館 和 圖 書 館 收 藏 的 文 物 和 書 籍 轉 移 到 山 洞 裡 , 以 為 難 民 騰 出 住 宿 空 間 。"
面對南下的德國大軍，聖馬利諾共和國再度陷入驚慌之中。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"面 對 南 下 的 德 國 大 軍 , 聖 馬 利 諾 共 和 國 再 度 陷 入 驚 慌 之 中 。"
聖馬洛區轄有9個縣，共有63個市鎮。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"聖 馬 洛 區 轄 有 個 縣 , 共 有 個 市 鎮 。"
20世紀後，飛機被發明，航空測繪地圖興起。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"世 紀 後 , 飛 機 被 發 明 , 航 空 測 繪 地 圖 興 起 。"
但在2006年由於公眾反對，這一計劃受到擱淺。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"但 在 年 由 於 公 眾 反 對 , 這 一 計 劃 受 到 擱 淺 。"
在此之後，地形圖集也成為了現代化國家在規劃基礎設施和礦產探測中的基礎國家資源。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"在 此 之 後 , 地 形 圖 集 也 成 為 了 現 代 化 國 家 在 規 劃 基 礎 設 施 和 礦 產 探 測 中 的 基 礎 國 家 資 源 。"
換句話說，如果每個標註的點都在100米的高度，這條線代表的就是100米海拔。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"換 句 話 說 , 如 果 每 個 標 註 的 點 都 在 米 的 高 度 , 這 條 線 代 表 的 就 是 米 海 拔 。"
滾球的球主要分為兩類，一種由金屬制，另一種則塑質所造，前者稱金屬滾球，後者名為塑質滾球，在這兩大類中，再有小金屬滾球、草滾球、桌擲球（又稱沙狐球）。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"滾 球 的 球 主 要 分 為 兩 類 , 一 種 由 金 屬 制 , 另 一 種 則 塑 質 所 造 , 前 者 稱 金 屬 滾 球 , 後 者 名 為 塑 質 滾 球 , 在 這 兩 大 類 中 , 再 有 小 金 屬 滾 球 、 草 滾 球 、 桌 擲 球 ( 又 稱 沙 狐 球 ) 。"
地灣城遺址，位於中國甘肅省金塔縣，為一個省級文物保護單位，類型為古遺址。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"地 灣 城 遺 址 , 位 於 中 國 甘 肅 省 金 塔 縣 , 為 一 個 省 級 文 物 保 護 單 位 , 類 型 為 古 遺 址 。"
與其他胰島素相比較，本品引起夜間低血糖的風險較低，因而可以進行更為積極的劑量調整以實現血糖達標。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"與 其 他 胰 島 素 相 比 較 , 本 品 引 起 夜 間 低 血 糖 的 風 險 較 低 , 因 而 可 以 進 行 更 為 積 極 的 劑 量 調 整 以 實 現 血 糖 達 標 。"
長期血糖水平控制良好可以降低糖尿病視網膜病變的風險。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,長 期 血 糖 水 平 控 制 良 好 可 以 降 低 糖 尿 病 視 網 膜 病 變 的 風 險 。
《進化特區》（英文：Evolution）是2001年首映的一部美國科幻喜劇電影。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,《 進 化 特 區 》 ( 英 文 : E v o l u t i o n ) 是 年 首 映 的 一 部 美 國 科 幻 喜 劇 電 影 。
遊戲的任務重心就是「自由」。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,遊 戲 的 任 務 重 心 就 是 「 自 由 」 。
NX-01最初的武器裝備只有等離子炮與氚核魚雷，並由電磁極化船甲保護。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"N X - 最 初 的 武 器 裝 備 只 有 等 離 子 炮 與 氚 核 魚 雷 , 並 由 電 磁 極 化 船 甲 保 護 。"
但在另一方面，少數變化使得分子的複製變得更快或更佳；這些「品系」的數量較多也較「成功」。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"但 在 另 一 方 面 , 少 數 變 化 使 得 分 子 的 複 製 變 得 更 快 或 更 佳 ; 這 些 「 品 系 」 的 數 量 較 多 也 較 「 成 功 」 。"
1788年，他來到了所羅門聖克魯斯群島的，之後便杳無蹤跡。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"年 , 他 來 到 了 所 羅 門 聖 克 魯 斯 群 島 的 , 之 後 便 杳 無 蹤 跡 。"
18世紀到19世紀是現代地質學和地理學的創立時期，兩者的交叉領域則為地貌學提供了空間。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"世 紀 到 世 紀 是 現 代 地 質 學 和 地 理 學 的 創 立 時 期 , 兩 者 的 交 叉 領 域 則 為 地 貌 學 提 供 了 空 間 。"
20世紀50年代也是地貌學出現分支學科的時期，形成了河流地貌學、冰川地貌學、海岸地貌學和構造地貌學。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"世 紀 年 代 也 是 地 貌 學 出 現 分 支 學 科 的 時 期 , 形 成 了 河 流 地 貌 學 、 冰 川 地 貌 學 、 海 岸 地 貌 學 和 構 造 地 貌 學 。"
化學中的場效應（Field effect，記作F）是指通過空間的分子內靜電作用，即某取代基在空間產生一個電場，它對另一處的反應中心發生影響。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"化 學 中 的 場 效 應 ( F i e l d e f f e c t , 記 作 F ) 是 指 通 過 空 間 的 分 子 內 靜 電 作 用 , 即 某 取 代 基 在 空 間 產 生 一 個 電 場 , 它 對 另 一 處 的 反 應 中 心 發 生 影 響 。"
她並不十分擅長為唱片封面拍攝，每當攝影師把鏡頭對準她，說道：「好，開始拍」時，或者是在確定拍攝場景後，需要根據攝影師的想法去調整姿勢時，她總是顯得不自在。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"她 並 不 十 分 擅 長 為 唱 片 封 面 拍 攝 , 每 當 攝 影 師 把 鏡 頭 對 準 她 , 說 道 : 「 好 , 開 始 拍 」 時 , 或 者 是 在 確 定 拍 攝 場 景 後 , 需 要 根 據 攝 影 師 的 想 法 去 調 整 姿 勢 時 , 她 總 是 顯 得 不 自 在 。"
總之她對顏色的要求非常嚴格。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,總 之 她 對 顏 色 的 要 求 非 常 嚴 格 。
此法既能解決運費高昂的問題，又可調節物價。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"此 法 既 能 解 決 運 費 高 昂 的 問 題 , 又 可 調 節 物 價 。"
波利比奧斯記述道：「當其被不斷切割，生還者被逼站在原地引頸就戮。」,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"波 利 比 奧 斯 記 述 道 : 「 當 其 被 不 斷 切 割 , 生 還 者 被 逼 站 在 原 地 引 頸 就 戮 。 」"
總括而言，整場戰役的總傷亡人數大約為八萬人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"總 括 而 言 , 整 場 戰 役 的 總 傷 亡 人 數 大 約 為 八 萬 人 。"
總面積11.37平方公里，總人口1579人，其中男性741人，女性838人（2011年12月31日），人口密度139人/平方公里。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"總 面 積 . 平 方 公 里 , 總 人 口 人 , 其 中 男 性 人 , 女 性 人 ( 年 月 日 ) , 人 口 密 度 人 / 平 方 公 里 。"
有些現代神話學家認為，坎珀實際是厄客德娜的一個別名，兩者之間有很多相似之處。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"有 些 現 代 神 話 學 家 認 為 , 坎 珀 實 際 是 厄 客 德 娜 的 一 個 別 名 , 兩 者 之 間 有 很 多 相 似 之 處 。"
他是一個典型的戰士：高大，結實，強壯有力。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"他 是 一 個 典 型 的 戰 士 : 高 大 , 結 實 , 強 壯 有 力 。"
統治期內，梅葛處死了三位大學士；他還擁有為數眾多的妻子，每個時期通常都不止一個，因此臭名遠揚。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"統 治 期 內 , 梅 葛 處 死 了 三 位 大 學 士 ; 他 還 擁 有 為 數 眾 多 的 妻 子 , 每 個 時 期 通 常 都 不 止 一 個 , 因 此 臭 名 遠 揚 。"
雷妮拉的母親沒有生下男性繼承人就死了，所以韋賽里斯一世準備讓雷妮拉繼承王位，成為坦格利安家系中的第一位女王。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"雷 妮 拉 的 母 親 沒 有 生 下 男 性 繼 承 人 就 死 了 , 所 以 韋 賽 里 斯 一 世 準 備 讓 雷 妮 拉 繼 承 王 位 , 成 為 坦 格 利 安 家 系 中 的 第 一 位 女 王 。"
由節目來賓各自抽籤選定主持人當助手後分成兩隊比賽,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,由 節 目 來 賓 各 自 抽 籤 選 定 主 持 人 當 助 手 後 分 成 兩 隊 比 賽
他亦曾代表過阿根廷國家隊出賽，但並未參與任何世界盃賽事。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"他 亦 曾 代 表 過 阿 根 廷 國 家 隊 出 賽 , 但 並 未 參 與 任 何 世 界 盃 賽 事 。"
而埃姆登號的殘骸在1950年被一家日本公司打撈上來作廢鐵處理，但仍有部分殘骸未被打撈上來。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"而 埃 姆 登 號 的 殘 骸 在 年 被 一 家 日 本 公 司 打 撈 上 來 作 廢 鐵 處 理 , 但 仍 有 部 分 殘 骸 未 被 打 撈 上 來 。"
根據美國輿論調查指出，當時隆美爾是美國僅次於希特勒的知名度最高的德國人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"根 據 美 國 輿 論 調 查 指 出 , 當 時 隆 美 爾 是 美 國 僅 次 於 希 特 勒 的 知 名 度 最 高 的 德 國 人 。"
此處不需要保護補給線的安全而持續控制。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,此 處 不 需 要 保 護 補 給 線 的 安 全 而 持 續 控 制 。
由於認為德義軍隊戰力已就緒，隆美爾決定再發動攻勢。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"由 於 認 為 德 義 軍 隊 戰 力 已 就 緒 , 隆 美 爾 決 定 再 發 動 攻 勢 。"
起初隆美爾對此決定甚為惱怒，但回到司令部後重新考慮過後，隆美爾認為魏斯法爾的判斷是正確的，中止了攻勢。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"起 初 隆 美 爾 對 此 決 定 甚 為 惱 怒 , 但 回 到 司 令 部 後 重 新 考 慮 過 後 , 隆 美 爾 認 為 魏 斯 法 爾 的 判 斷 是 正 確 的 , 中 止 了 攻 勢 。"
該市鎮總面積10.94平方公里，2009年時的人口為600人。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"該 市 鎮 總 面 積 . 平 方 公 里 , 年 時 的 人 口 為 人 。"
幾個月後的一次採訪，艾米說到：「如果我們沒有變化的話，是沒法做出第二張專輯的。」,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"幾 個 月 後 的 一 次 採 訪 , 艾 米 說 到 : 「 如 果 我 們 沒 有 變 化 的 話 , 是 沒 法 做 出 第 二 張 專 輯 的 。 」"
"埃薩河是白俄羅斯的河流，由明斯克州和維捷布斯克州負責管轄，屬於道加瓦河的一部分，該湖長84公里，面積1,040平方公里，最終注入列佩利湖。",zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"埃 薩 河 是 白 俄 羅 斯 的 河 流 , 由 明 斯 克 州 和 維 捷 布 斯 克 州 負 責 管 轄 , 屬 於 道 加 瓦 河 的 一 部 分 , 該 湖 長 公 里 , 面 積 , 平 方 公 里 , 最 終 注 入 列 佩 利 湖 。"
警方前往工作坊逮捕席勒的同時，也扣押了一百多張被認為是色情物品的畫作。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"警 方 前 往 工 作 坊 逮 捕 席 勒 的 同 時 , 也 扣 押 了 一 百 多 張 被 認 為 是 色 情 物 品 的 畫 作 。"
卡斯特羅出現在了埃連與同學在一起的生日派對視頻中。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,卡 斯 特 羅 出 現 在 了 埃 連 與 同 學 在 一 起 的 生 日 派 對 視 頻 中 。
1916年至1917年，他在美國巡迴演講，之後的1920年，他被派任蘇門答臘瑞典領事，1921年至1925年，他又來到美國學習。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"年 至 年 , 他 在 美 國 巡 迴 演 講 , 之 後 的 年 , 他 被 派 任 蘇 門 答 臘 瑞 典 領 事 , 年 至 年 , 他 又 來 到 美 國 學 習 。"
曼施坦因戰後繼續留在軍隊，在1920年代，他參與了創建德國國防軍的進程，1919年5月的《凡爾賽條約》限定魏瑪共和國只能擁有最多10萬人的軍隊。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"曼 施 坦 因 戰 後 繼 續 留 在 軍 隊 , 在 年 代 , 他 參 與 了 創 建 德 國 國 防 軍 的 進 程 , 年 月 的 《 凡 爾 賽 條 約 》 限 定 魏 瑪 共 和 國 只 能 擁 有 最 多 萬 人 的 軍 隊 。"
1918年，他被派去指揮佔領白俄羅斯的第十軍，在那裡他一直待到戰爭結束。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"年 , 他 被 派 去 指 揮 佔 領 白 俄 羅 斯 的 第 十 軍 , 在 那 裡 他 一 直 待 到 戰 爭 結 束 。"
雖然她從來沒有再婚，她又找了幾任情人，並於1882年去世。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"雖 然 她 從 來 沒 有 再 婚 , 她 又 找 了 幾 任 情 人 , 並 於 年 去 世 。"
這個長廊頂部覆蓋著拱形的玻璃和鑄鐵屋頂，這是19世紀流行的商場設計。,zh,Chinese,Universal Dependencies Treebanks,preprocessing,chinese,"這 個 長 廊 頂 部 覆 蓋 著 拱 形 的 玻 璃 和 鑄 鐵 屋 頂 , 這 是 世 紀 流 行 的 商 場 設 計 。"
